0,0.4,0.2,0.2
0.1,0.446016,0.21791,0.196808
0.2,0.498227,0.235642,0.193802
0.3,0.557544,0.253198,0.190984
0.4,0.625028,0.270579,0.188355
0.5,0.701906,0.287787,0.185913
0.6,0.789601,0.304824,0.183659
0.7,0.88977,0.321691,0.181592
0.8,1.00434,0.338391,0.179709
0.9,1.13555,0.354924,0.178008
1,1.28601,0.371293,0.176487
1.1,1.45877,0.387499,0.17514
1.2,1.6574,0.403543,0.173962
1.3,1.88605,0.419428,0.172949
1.4,2.14958,0.435155,0.172094
1.5,2.4537,0.450726,0.171389
1.6,2.80507,0.466141,0.170828
1.7,3.21152,0.481403,0.170401
1.8,3.68223,0.496514,0.170101
1.9,4.22797,0.511474,0.16992
2,4.86138,0.526285,0.169848
2.1,5.59733,0.540948,0.169877
2.2,6.45328,0.555466,0.169999
2.3,7.44972,0.56984,0.170206
2.4,8.61076,0.58407,0.17049
2.5,9.96469,0.598159,0.170844
2.6,11.5447,0.612107,0.171261
2.7,13.3897,0.625917,0.171735
2.8,15.5453,0.639589,0.17226
2.9,18.0647,0.653126,0.172831
3,21.0099,0.666527,0.173443
3.1,24.453,0.679795,0.174092
3.2,28.4774,0.692932,0.174773
3.3,33.1792,0.705937,0.175483
3.4,38.6682,0.718813,0.176218
3.5,45.0689,0.731561,0.176977
3.6,52.5214,0.744183,0.177757
3.7,61.1809,0.756678,0.178555
3.8,71.2167,0.769049,0.17937
3.9,82.8097,0.781298,0.180199
4,96.1481,0.793424,0.181042
4.1,111.42,0.80543,0.181897
4.2,128.804,0.817316,0.182764
4.3,148.455,0.829084,0.18364
4.4,170.491,0.840734,0.184526
4.5,194.971,0.852269,0.185421
4.6,221.876,0.863689,0.186323
4.7,251.093,0.874996,0.187234
4.8,282.396,0.88619,0.188151
4.9,315.444,0.897272,0.189075
5,349.78,0.908245,0.190006
5.1,384.855,0.919108,0.190943
5.2,420.05,0.929863,0.191885
5.3,454.722,0.940511,0.192834
5.4,488.243,0.951053,0.193788
5.5,520.051,0.96149,0.194748
5.6,549.676,0.971824,0.195713
5.7,576.769,0.982054,0.196684
5.8,601.111,0.992183,0.19766
5.9,622.608,1.00221,0.198641
6,641.277,1.01214,0.199627
6.1,657.224,1.02197,0.200618
6.2,670.622,1.0317,0.201615
6.3,681.689,1.04133,0.202617
6.4,690.665,1.05087,0.203623
6.5,697.796,1.06032,0.204635
6.6,703.323,1.06967,0.205652
6.7,707.475,1.07892,0.206674
6.8,710.461,1.08809,0.207701
6.9,712.466,1.09716,0.208734
7,713.655,1.10615,0.209771
7.1,714.173,1.11504,0.210814
7.2,714.14,1.12385,0.211862
7.3,713.662,1.13256,0.212915
7.4,712.826,1.14119,0.213973
7.5,711.705,1.14974,0.215036
7.6,710.36,1.1582,0.216105
7.7,708.842,1.16658,0.217179
